"album","lyrics","title","url"
"Unknown","Rockin', rollin' splishin', splashin' Over the horizon, what can it be?
Ah, Ah, Ah, Ah Do it to me one time.
The pilgrims sailed the sea
To find a place to call their own so free
In their little to ship, the Mayflower
They hope to find a better home to be
The finally knocked on Plymouth Rock
As some one said we're there
It may not look like home
But at this point I don't care
Oh they were missing mother England
They swore their loyalty until the very end
Anything you say King, it's OK King
You know it's kinda scary on your own
We've got to all just get together
Talk to call each other on the telephone
I want no more kings no more kings (X3)
You taxed our property you didn't give us any choice
And meanwhile back in England you didn't give them any voice
That's what I call taxation without representation
And that's not fair (It's wrong! It's wrong!)
It's a long list of mistakes you made King
And let's start with the - worst
You had the nerve to tax our cup of tea
To put it kindly King, what? did you expect me to agree?
Gonna show you why we dumped it in the ocean
Made the biggest harbor of tea you'll ever see
No more Kings Gonna run our things our own way (X2)
Gonna run it into the ground","No More Kings","http://lyrics.fandom.com/wiki/Pavement:No_More_Kings"
"Brighten The Corners (1997)","Deviances anticipated
Triple-X or at least R-rated
San Tropez, the middle of May
There's no tan lines tonight
No tan lines tonight,
But trench it, rev it
It's time to share spit
In the sauna, we'll become close
With ya, oh yeah!
Princess with a cold killer instinct
Winked at me from across the ice rink
Pleather uppers soft for the spins
But she gives it away without a rest
Language buried her in the motherland
Language barrier in the Pathan grain
Yeah, oh yeah!
You will be my candy striper
Junior Leaguer, bedpan wiper
Convalescent enema essence
I live to be gray, I live to be gray!","No Tan Lines","http://lyrics.fandom.com/wiki/Pavement:No_Tan_Lines"
"Brighten The Corners (1997)","Embrace the senile genius
Watch him reinvent the wheel
I don't need your summary acts, summary acts
To give into the narrative age
Old to begin
I will set you back, set you back, set you
Old to begin
I will set you back, set you back, set you
We got to feeling like a fixture
Set in 1966
Time came that we drifted apart, drifted apart
To find an identical twin
Old to begin
I will set you back, set you back, set you
Old to begin
I will set you back, set you back, set you
Searching for latent cause, blame it on menopause
Or perhaps stress and strain, credit cards, lumbar pain
But I've seen your double dares, everything extraordinaire
I know the things you do are gonna come back","Old To Begin","http://lyrics.fandom.com/wiki/Pavement:Old_To_Begin"
"Slanted And Enchanted (1992)","I've been waiting, anticipating
The sun comes up, the skies won't sink my soul
I've dreamt of this but it never comes, but it never comes
The rising, the nature's dry folk
I've been dreaming, traced out, but dreaming
The sun comes up, the blisters burn my soul
I'm dreaming of something now, of something now
Of the rising, the nature's dry, and all the groovy ones","Our Singer","http://lyrics.fandom.com/wiki/Pavement:Our_Singer"
"he Hall Brain Candy (1996)","That's all you're singing now?
Woohoo hoo, woohoo hoo, woohoo hoo, woohoo hoo Woohoo hoo, woohoo hoo, woohoo hoo, woohoo hoo
Why'd you have to say those things
About my face, about my name?
I didn't want things to end this way
I didn't want things to end this way
All my soldiers are painted
And I'm one of them
But I'm still dedicated
And I feel...
Woohoo hoo, woohoo hoo, woohoo hoo, woohoo hoo Woohoo hoo, woohoo hoo, woohoo hoo, woohoo hoo
Why'd you have to say those things
About my faults, about my sting?
I didn't want things to end this way
I didn't want things to end this way.
All my soldiers are painted
And I'm one of them,
But I'm still dedicated
To seeing...
I knew he liked to talk about himself
But he wanted the whole world to know.
It made me sick inside...
I just gotta hold back.
Woohoo hoo, woohoo hoo, woohoo hoo, woohoo hoo Woohoo hoo, woohoo hoo, woohoo hoo, woohoo hoo
And if your soldiers are painted
Don't be like one of them.
But if you're still dedicated,
It's all right...","Painted Soldiers","http://lyrics.fandom.com/wiki/Pavement:Painted_Soldiers"
"Brighten The Corners (1997)","You know you've got it all wrong
There's no other way to find it
You know you've gotta be strong
And I really hope you plan to buy it
'Cause that's the way to Passat, babe
And that's the car to his soul
He will bring you all the millions in gold, child
If you will only let him have his role
Everybody wishes you'd gone
I've got no time to find it
And the dealer with the jingly song
Will never match my price reduction
'Cause that's the way to Passat, babe
And that's the car to his soul
He will bring you all the millions in gold
If you will only let him have his role
Yeah, you gotta be strong
There's no other way to find it
All the plantings are young and able
And I hope you find a way to buy it
'Cause that's the way to his heart, babe
And that's the way to his soul
You got to give him millions in gold, child
Before I go the way of the sold
And that's the way to his heart, babe
And that's the way to his soul
You got to give him millions in gold, child
Before I go the way of the sold","Passat Dream","http://lyrics.fandom.com/wiki/Pavement:Passat_Dream"
"Westing (By Musket And Sextant) (1993)","Slow-Mo
Got his hand stuck in the kitchen sink
It was his birthday tomorrow
And he couldn't resist
But he never found a sign on his second skin
At least he knows how the other half lives
Inside a little room about four inches wide
With windows glued shut,
And air that stinks
But he only saw the kitchen
And the bath
He should be thankful
So thankful
That all's ok with her
And I wasted
No one's precious time
Like I wasted, I wasted all
Your precious time, precious time
Was a sorry thing to do
Was a sorry thing for you
'Cause I wasted,
I wasted it all on you!","Perfect Depth","http://lyrics.fandom.com/wiki/Pavement:Perfect_Depth"
"Slanted And Enchanted (1992)","Fun for an hour, when the hour's gone
Can one trick nights feed forty days?
In my bed at the break of dawn
She shivered like a vein slashed bright and new
She's got the radio active and it makes me feel okay
I don't feel okay
She's got the radio active and it makes me feel okay
I don't feel okay
Grip-force the vials and strip the locks
Smash the set and slash the beds
And when it looks like a wife's ex-plot
We'll cover all the rugs with cheap perfume
She's got the radio active and it makes me feel okay
I don't feel okay
She's got the radio active and it makes me feel okay
I don't feel okay
Like a docent's lisp, like a damsel's spit
Like a dry gin's twist of lime
Like a poor droll sir, like a pike's dull spurs
Like a pastor's flock of sheep","Perfume-V","http://lyrics.fandom.com/wiki/Pavement:Perfume-V"
"Terror Twilight (1999)","Cardiac kid, kinda like it
Kinda like it
Cardiac kid don't go
Chronological on all your friends
First you'll cause accidents
Raise the roof, make us tense
Follow through to the ends
And we'll rip the heart out from the defense
The lion reaps his own reward
Serengeti nightmare for the eco-tour
You're a nice guy, and I hate you for that
Thanks to people like you I'm no longer half bad
Mandrake versus the snake
I got it on the camera for posterity
But my stolen wild orchids got cut
See those sherpas chirping from the autobus
It's got the right to sit on that face
Well, it was put here for me because I am great
I've got the right to sit on that face
Everybody look at me and my wonderful place
Patty, Patty, Patty, you're so catty
And it's not fair because I like to doody doddy do
Catty, catty, catty you're so patty
And it's unfair 'cause I like to doody doddy do with you
And it's unfair 'cause I like to
Doody doddy doody da with you
Di da di doody da with you","Platform Blues","http://lyrics.fandom.com/wiki/Pavement:Platform_Blues"
"Westing (By Musket And Sextant) (1993)","Just 'cause I'm fakin
Doesn't mean I'm wrong
'Cause I bought my price yeah,
No I got it at cost
And there's the things I know
Wrote them down on your nib
Just remember turning
It's a rapid affair
You can't say it, you can't say I'm wrong.
You can't say it, you can't say it, you can't say I'm wrong.
Won't have teeth to say I'm wrong
No they won't have teeth to say I'm wrong
No they won't have teeth to say I'm wrong
(Incoherence) I wanna better bong?
Oh... oh... oh... aw... aw... aw","Price Yeah!","http://lyrics.fandom.com/wiki/Pavement:Price_Yeah!"
"Wowee Zowee (1995)","One trial down in Spanos County
Ladies always turn up to watch them fall
And the hands they bind you
They bind you like you want to be broken
But the land is comin', babe
It's coming up golden
Gold and silver streaks
When you hit them
You can't buy sand
In the gross land
Don't say what to make 'em feel
They got take it off my wrists
Jacob you move up my wrists
Jacob you move, when you move
You don't move, you don't move
Alright I want a cigarette
All those trials and things they try to do
While wondering over why we're insane
Damn land ho, won't you?","Pueblo","http://lyrics.fandom.com/wiki/Pavement:Pueblo"
"Unknown","Well, you mesmerize me
Stop criticizing me
You know, I'm solo that way
And I'm heading for the Cape
I'm on a raft, can't turn back
Stimulate the open chords
I'm on a raft, can't turn back
(Louder!)
You're an ocean of honey
Painfully funny, yeah
And the tears that you grow
Are coming up early
I'm on a raft, can't turn back
And you stimulate the open chords
Rats, in the bath, of the shaft...
((Indistinct))
You're a Nestea splash
Sunkist two-thousand class
All the towelers of thongs
And a heavy, line, oh...
Down the golden groves
All around this funky place
Damn, damn, damn
All the forty-niners...","Raft","http://lyrics.fandom.com/wiki/Pavement:Raft"
"Crooked Rain, Crooked Rain (1994)","After the glow, the scene, the stage, the set
Talk becomes slow but there's one thing I'll never forget
Hey, you gotta pay your dues before you pay the rent
Over the turnstiles and out in the traffic
There's ways of living, it's the way I'm living, right or wrong
It's all that I can do and I wouldn't want to let you be
I want a range life if I could settle down
If I could settle down then I would settle down
I want a range life if I could settle down
If I could settle down then I would settle down
Run from the pigs, the fuzz, the cops, the heat
Pass me your gloves, this crime it is never complete
Until you snort it up or shoot it down, you're never going to feel free
Out on my skateboard the night is just humming
And the gum smacks are the pulse I'll follow if my walkman fades
Well, I got absolutely no one, no one but myself to blame
Don't worry, we're in no hurry, school's out, what did you expect?
I want a range life if I could settle down
If I could settle down then I would settle down
I want a range life if I could settle down
If I could settle down then I would settle down, yeah
Out on tour with the Smashing Pumpkins
Nature kids, I, they don't have no function
I don't understand what they mean and I could really give a fuck
Stone Temple Pilots, they're elegant bachelors
They're foxy to me, are they foxy to you?
I will agree they deserve absolutely nothing, nothing more than me
Dreaming, dream, dream, dream, dream","Range Life","http://lyrics.fandom.com/wiki/Pavement:Range_Life"
"Wowee Zowee (1995)","Oh, that I could bend my tongue outwards
Leave your lungs hurting, tucking my shirt in
Pants I wear so well, cross your t's, shirt smells
Worse than your lying, caught my dad crying
Loose like the wind
From the rough we get par
Sleet city woman
Waiting to spar
I'm drowning for your thirst
Drowning for your thirst
Drowning for your thirst
Drowning for your thirst
Getting off on the candelabra
We call her Barbara, breeding like larva
She rabble rousing, dental surf combat
Get out those hardhats and sing and us some skat
Blade lovers gush
Chained and perfumed
I don't need a minister
To call me a groom
But I'm rattled by the rush
Rattled by the rush
Rattled by the rush
Rattled by the rush
No soap in the john
No soap in the john
No soap in the john
No soap in the john
Rattled by the rush
Rattled by the rush
Rattled by the rush
Rattled by the rush, makes you want to say your prayers
Rattled by the rush
Rattled by the rush
Rattled by the rush
Rattled by the rush, makes you want to say your prayers
Rattled by the rush
Rattled by the rush
Rattled by the rush
Rattled by the rush, makes you want to say your prayers","Rattled By The Rush","http://lyrics.fandom.com/wiki/Pavement:Rattled_By_The_Rush"
"Westing (By Musket And Sextant) (1993)","My space is...
Ready to be taken
By the sweat up high
With the fucked up eyes
With the ugly face
The ugly face, the ugly face, the ugly face
The ugly THIGHS!
We all thought you'd lose
To the recorder grot and kick it!
Behind my back before you cross
Behind my back before you crash
Behind my back before you crack
Behind my back before you crack
Behind my back before you cross
Behind my back recorder grot
Behind my back recorder grot
Recorder grot, recorder grot
Grot!","Recorder Grot (Rally)","http://lyrics.fandom.com/wiki/Pavement:Recorder_Grot_(Rally)"
"Spit On A Stranger (1999)","Many are the men who get lost around the bend
Solitary rejects with a need to spawn
Well, the hell you are a-raising, the skirts you are a-chasing
Gonna send the letter bomb back to you
Roll, roll with the wind
Roll, roll with the wind
In light of what you're raising, there's always an equation
For what you are made up of, what you're gonna be
Wise, you are a shaman, and rich, a Boston prominent
Poor, you're just so common and that's all there is
Roll, roll with the wind
Roll, roll with the wind
Clarity was lost in the guts of the Xerox machine
Say what you need, say what you mean, don't keep me guessing
Playing to packed houses and quiet as church mouses
And building up a circus tent with black pitons
Well, I get high on action, heavy tooth compaction
Building up a root canal, entre vous
Roll, roll with the wind
Roll, roll with the wind
Charity's new members lost it, so save the receipt
Save the receipts, save the receipts, don't keep me guessing
You got to roll, roll with the wind, roll with the wind
You got to roll, roll with the wind, roll with the wind","Roll With The Wind","http://lyrics.fandom.com/wiki/Pavement:Roll_With_The_Wind"
"Spit On A Stranger (1999)","Bad Brains drop,
They rip you like a Sunday paper.
Glass clear,
Hold me like a suicide ranger in his lair,
A suicide ranger,
Uh, uh, ah.
Down on saint Kit's and I was lost in a haze of
Tax shelters and Mardi Gras and polluted bays, but
My Cadillac mind recalls a time that you walked around an island forty times
Who whispers from the natives in their two paying cars.
Angel got to see where you hide,
She might know when you die.
There's no place to get up,
From the rooftop gambler.
A weekends Costa Rica with ocho chicas
And the bars are never closes when you got the frozen noses
Of Jeff and it is the soundtrack I've go to get a heart attack,
Working hard.
Hours and the feelings down on your kneeling.
Whisper to the truths and when they come their going to hide you around
There going to show me to hide
Like a rooftop gambler.","Rooftop Gambler","http://lyrics.fandom.com/wiki/Pavement:Rooftop_Gambler"
"Unknown","Grea-a-a-a-a-a-a-a-a-a-a-a-at
Great seekers of violence
Go away
Oh grea-a-a-a-a-a-a-a-a-a-a-a-at
Great seekers of violence
Go away
Are you a cheater in love with your reach?
I know too well the company you keep
'Cause the proof's in the pudding
You never should pray
Unless you believe.
Oh grea-a-a-a-a-a-a-a-a-a-a-a-at
Great seekers of violence
Go away
'Cause you're the grea-ee-a-a-ee-a-a-ee-a-a-ee-a-a-at
Great seekers of violence
Go away
Well, I would like to sag along to Saganaw
With a canvas duffle bag under my arm
'Cause the country songs have blessed me
With influence and power, and truth
Oh-ooh-oh-ooh-ooh-ooh
Eeyyyay-eee-yay-eee-yay...","Saganaw","http://lyrics.fandom.com/wiki/Pavement:Saganaw"
"Unknown","Plugs without a socket
There's no moon without a rocket
Holes if you could lock it
I wouldn't let you if you wanted to
Court or you're bad, bad when you're good
Close 'em off and let him go home
I never want to leave ya
But I won't want to grieve ya
When ya money come around I'll be home
No one gets to laugh at you
I know a bike with a plate a special plate forgetting me
Your home is not my home and your bone is not mine
No more things that I could want and delay [unverified]
Let's smoke some butts, Steve
Let's smoke some butts, come on
Let's smoke some butts, come on
I'm hoping for somebody, somebody who will love me
And I'm not sure that that's very hard to find
'Cause I never really looked, I never really took
A second glance at something you said
I'm leaving on my fly you know
You know, no way I do
Oh, leaving don't you know
Come on, come on, come on
(Unverified)
Buy me a postcard, put it in the mail
Buy me a boat and we'll set sail
Buy me a ship it's just the same
Same way of saying the same thing
Oh, no one gets to lie
When it gets down too close to the
Never mind, forget what I said
It meant nothing to you or me, you or me
I met a man, a man who taught me something
Something about tying knots on a girl's forehead
I never learned 'cause I never had eight children
And I never wanted them
But now, now I'm getting older
Maybe I'd like to fuck a woman and make one
But I don't know if I should
Because I don't have a real steady job
Because I don't have a real special, ooh","Same Way Of Saying","http://lyrics.fandom.com/wiki/Pavement:Same_Way_Of_Saying"
"Unknown","So you wanted it
Price the sword
The ancient craft
I'm so bored with your ancient craft
Your ancient laughs
And everyone is laughing at you
Sees it all there
Sees it behind him,
It's behind his southern mind
And it's so new
Haunted call
Said to me,
""It's not as good as the first EP""
Beside himself on the shelf
Off the blue
And into the grey
Sees it all there
Sees it behind him,
It's behind his southern mind
And it's so new
Kick the sand
Kick the can
Kick it in the face of another man
So you kick it up, it's out of town
I've never felt like I do now
But I know what I want
I know it's behind me
Behind my western mind
And it's so new
It's so new.","Secret Knowledge Of Backroads","http://lyrics.fandom.com/wiki/Pavement:Secret_Knowledge_Of_Backroads"
"Wowee Zowee (1995)","Frequently called numbers
Snoring when you slumber
Everyone knows you do
Why won't you admit it?
Screw you
And take it all
Force-fed integration
From the corporation
I don't need this
Corporation attitude
I believe I will never leave
Your serpentine pad
Darling, when you wake up
Better ask the grown-ups
If they have posed 'em twice
Leave them and lead other lives
Think it might be another thing
That I would want to know
But I don't know if I should
If I could and if I would anyway
I believe I will never leave
Your serpentine pad","Serpentine Pad","http://lyrics.fandom.com/wiki/Pavement:Serpentine_Pad"
"Brighten The Corners (1997)","Blind date with the chancer, we had oysters and dry lancers
And the check, when it arrived, we went dutch, dutch, dutch, dutch
A redder shade of neck on a whiter shade of trash
And this emery board is giving me a rash
I'm flat out
You're so beautiful to look at when you cry
Freeze, don't move
You've been chosen as an extra in the movie adaptation of the sequel to your life
A shady lane, everybody wants one
A shady lane, everybody needs one
Oh my god, oh my god, oh my god, oh my god
Oh my god, oh your god, oh his god, oh her god
It's everybody's god, it's everybody's god, it's everybody's god, it's everybody's god
The worlds collide, but all that we want is a shady lane
Glance, don't stare
Soon you're being told to recognize your heirs
No, not me
I'm an island of such great complexity
Distress surrounds
In the muddy peaceful center of this town
Tell me off
In the hotel lobby right in front of all the bellboys and the over-friendly concierge
A shady lane, everybody wants one
A shady lane, everybody needs one
Oh my god, oh my god, oh my god, oh my god
Oh my god, oh your god, oh his god, oh her god
It's everybody's god, it's everybody's god, it's everybody's god, it's everybody's god
The worlds collide, but all that I want is a shady lane","Shady Lane","http://lyrics.fandom.com/wiki/Pavement:Shady_Lane"
"Westing (By Musket And Sextant) (1993)","I told her lies deceitfully
And she believed, she believed in me
I told her o lip suction fragment
And she believed, she believed in me
I told her I was free of disease
And she believed, she believed in me
I told her I loved her
And she believed, yeah she believed in me!","She Believes","http://lyrics.fandom.com/wiki/Pavement:She_Believes"
"Slanted And Enchanted (1992)","Someone took
In these pants
Somebody painted over paint
Painted wood
And where he stood
No one stands
It's been said he's sitting now
In the charming land
I've seen saints
But remember
That I forgot
To flag them down when they pass
And in the morning light
You hold that ashtray tight
You can put it out
But I can't put it out
My hand shook
Down and out
I've got the blisters of the world
World knew
I named a book
After you
So look up and watch the camera lens
When the risers fade
Slow it down
Song is sacred
And brother
Your honor, hang a right at home
And in the morning light
I'll hold my ashtray tight
I can take it down
And you can't take it down
Don't expect
Don't expect
Don't expect
Don't expect
Don't expect
Don't expect
Don't expect","Shoot The Singer","http://lyrics.fandom.com/wiki/Pavement:Shoot_The_Singer"
"Crooked Rain, Crooked Rain (1994)","Silent kid no one to remind you
You got no heels, to reels to remind you
Silent kid don't take your pawn shop
Home, on the road, you got to take it
Silent kid don't lose your graceful tongue
This is the city life- let's talk about leaving
Come on, now, talk about your family
Your sister's curse, your father's old and damned, yeah
Silent kid don't listen to the grandmother's advice about us, yeah
Silent kid don't listen to their ? ? ?
Hand me the drumstick
Snare kick blues
Calls upon I knew myself in
In the spotlight ecstasy feels so warm inside
Till Five hours later I am
Chewin' screwin' my self with my hand","Silence Kid","http://lyrics.fandom.com/wiki/Pavement:Silence_Kid"
"Shady Lane (1997)","Mary, you smell different
Get up early in the bed
For you morning comes so easy
Spells have been cast and the urge has been lost
Snipers posted bills as they should
Of our midnight vacation
This is our vacation, and it's my chance to make it up to you
Stare at sequin seconds as they stick to the wall
People of the bay - it is excruciatingly grey
Face the front when it comes for you
Type slowly
Wish upon my ankles
Wish upon my blue incandescent shiny brawling guillotine
The edge of creation is blurred and blushed
Not a lot of room to grow
Inside this leather terrarium
Sci-fi darling, sci-fi darling don't go
Back on the planet now
And I'm beginning to wonder how
Echelon your dreams and they'll come true
Type slowly
Echelon your dreams and they'll come true
Type slowly","Slowly Typed","http://lyrics.fandom.com/wiki/Pavement:Slowly_Typed"
"Unknown","I've been waitin' here for oh so long
I've been waitin' here for oh so long
This is life
And it's flat
And it's 6
And it's 8... times
This is life
And it's flat
And it's 3
And it's 4
She's a real debutante
She'll never fall
Waves in the taxi of room-service calls
I've been with viceroys
And I've been with kings
In your emporium
It's gold inlaid rings
She can't live
Beside the spiral staircase
When the money's coming in...
White jar left of shelf above blue chair
Leave the old rugs down behind the stairs
Stunning bureaucrat
You're so f***ing lost
Stark as a skyscraper
Letters embossed
Stunning bureaucrat
You're so f***ing lost
Signing the letters
And cutting the costs
I can't live
Beside the spiral staircase
When the money's coming in...
Da - da - da
Ba - da - da
La - da - da
La - da - da
(Etc... fades)","So Stark (You're A Skyscraper)","http://lyrics.fandom.com/wiki/Pavement:So_Stark_(You%27re_A_Skyscraper)"
"Unknown","In a bucket top of the hill
Overlooking out of time thrills
You think you need some inspiration
And I wouldn't wanna ask because I don't mind
If it don't rhyme
Are a trespasser
Kiss me when I cross the tracks, baby
And I'll be watching you babe
I'll be watching you, I'll be whining too
Just a soiled little filly can't raise the roof
Keep your heart open under your glass
It was given my a maker that dirty, dirty taker
And ya don't mind because he don't mind saying
?I feel like a lap dog
You pet me when I beg
Why do beggarsisis
They never kneel??
I'll be watching for you, too
I'll be watching for you, too
I'll be watching for you, too
I'll be watching you
Who","Soiled Little Filly","http://lyrics.fandom.com/wiki/Pavement:Soiled_Little_Filly"
"Terror Twilight (1999)","Speak, see, remember
The crimes it took to get you through
Deadbeat December
There's blood in the butter, the kitchens are closed
For the holidays
You know that I've got to say
There's been a lot of talk since you're onto me
On, Daddy, on
To find in the fishes, the creatures, the air
Been hanging around
God loves you, but what could he do?
Yeah, what could he do?
Passion and a loving suggestion
Gonna send you into somebody's icy arms and now
Graphics will do the deal justice
It's a can't lose, only two times or three or four or more
To find in the love, in the creatures, the air
You're hanging around
God loves you, but what could he do?
Quit hanging around
God loves you, but what could he do?
What could he do?
Yeah, what could he do?
The terror twilight
It all to get down for it
The terror twilight
It all to get down for it
The terror twilight
It all to get down for it
The terror twilight
It all to get down
To love, in the fine, in the creatures, the air
You're hanging around
God loves you, but what could he do?
My friend, you're hanging around
God loves you, but what could he do?
What could he do?
What could he do?
What could he do?
Buy now, develop the coast and raise the
Sight lines, the oceans are moving out and
Someday, develop the coast and sell the air
You know if we could, we'd sell the air
Stand back, expansion is what we do the best
I don't see the grass and the fields
I see an epicenter with agendas and you're aware they must be met
I hope you're aware they must be met","Speak, See, Remember","http://lyrics.fandom.com/wiki/Pavement:Speak,_See,_Remember"
"Terror Twilight (1999)","However you feel, whatever it takes
Whenever it's real, whatever awaits
Whatever you need, however so slight
Whenever it's real, whenever it's right
I've been thinking long and hard about the things you said to me
Like a bitter stranger
Now I see the long, the short, the middle, and what's in between
I could spit on a stranger (pull me out)
You're a bitter stranger (pull me out)
Whatever you feel, whatever it takes
Whenever it's real, whatever awaits me
Whatever you need, however so slight
Wherever it leads, whenever it's right
Honey, I'm a prize and you're a catch, and we're a perfect match
Like two bitter strangers
Now I see the long and short of it, and I can make it last
I could spit on a stranger (pull me out)
You're a bitter stranger (pull me out)
I could spit on a stranger (pull me out)
You're a bitter stranger (pull me out)
I see the sunshine in your eyes
I'll try the things you'll never try
I'll be the one that leaves you high, high, high","Spit On A Stranger","http://lyrics.fandom.com/wiki/Pavement:Spit_On_A_Stranger"
"Westing (By Musket And Sextant) (1993)","I sneezed corn flakes down to my nose
Hes got a chrome-plated baby so it knows where it goes
I spent a long week waiting for my laundry with steve
I spent a long while waiting for my hair to recede
You shouldn't hate your body 'cause its part of you
Shouldn't hate your neighbour if he's family of man
No you shouldn't hate your family 'cause there part of you
Shouldn't hate your friends your friends your friends
Everybody's got one that they can't receive
When the cat's in the kitchen there's nothing but fleas
I spent a long time waiting for my hair to recede
I spent a long time waiting for my hair to recede","Spizzle Trunk","http://lyrics.fandom.com/wiki/Pavement:Spizzle_Trunk"
"Unknown","Blind date with a chancer, we had oysters and dry lancers
And the check when it arrived, we went dutch, dutch, dutch
Dutch a redder shade of neck on a whiter shade of trash
And this emory board is giving me a rash
I'm flat out
You're so beautiful to look at when you cry
Freeze, don't move
You've been chosen as an extra in the movie adaptation
Of the sequel to your life
A shady lane
Everybody wants one
A shady lane
Everybody needs one
Oh my God, oh my God, oh my God, oh my God
Oh my God, oh his God, oh her God, oh your God
It's everybody's God, it's everybody's God
It's everybody's God, it's everybody's God
The worlds collide
And all that I want is a shady lane
Glance don't stare
Soon you're being told to recognize your heirs
No not me
I'm an island of such great complexity
Distress surrounds
The muddy peaceful center of this town
Tell me off
In the hotel lobby right in front of all the bellboys
And the over friendly concierge
A shady lane
Everybody wants one
A shady lane
Everybody needs one
Oh my God, oh my God, oh my God, oh my God
Oh my God, oh his God, oh her God, oh your God
It's everybody's God, it's everybody's God
It's everybody's God, it's everybody's God
The worlds collide
But all that I want is a shady lane","Stare","http://lyrics.fandom.com/wiki/Pavement:Stare"
"Brighten The Corners (1997)","I heard what you said
The leaders are dead
They're robbing the skies
I can hear their followers cry
Starlings in the slipstream
Starlings in the slipstream
Starlings in the slipstream
Starlings in the slipstream
The language of influence
Is cluttered with hard hard C's
And I put a spy-cam
In a sorority
Darlings on the split-screen
Darlings on the split-screen
Darlings on the split-screen
Darlings on the split-screen
There's no women in Alaska
There's no Creoles in Vermont
There's no coast of Nebraska
My mother, I forgot
Slavic princess with a rose in her teeth, do you suppose she would bite you if she could?
Insane cobra split the wood, trader of the lowland breed
Call a jittney, drive away, in the slipstream we will stay
Stay away, away, away, away, away, away, away, away","Starlings Of The Slipstream","http://lyrics.fandom.com/wiki/Pavement:Starlings_Of_The_Slipstream"
"Brighten The Corners (1997)","Pigs, they tend to wiggle when they walk
The infrastructure rots
And the owners hate the jocks with their agents and their dates
If the signatures are checked, you'll just have to wait
And we're counting up the instants that we save
Tired nation so depraved, from the cheap seats see us
Wave to the camera, it took a giant ramrod
To raze the demon settlement
But high-ho silver, ride
High-ho silver, ride
Take another ride to see me home
Listen to me, I'm on the stereo, stereo
My baby, baby, baby, baby, baby
Gave me malaria, hysteria
What about the voice of Geddy Lee, how did it get so high?
I wonder if he speaks like an ordinary guy
I know him, and he does
Then you're my fact-checking 'cause
Well, focus on the quasar in the mist
The kaiser has a cyst and I'm a blank want
List the qualms you have and if they stick
They will drown you in a crick
In the neck of a woods that was populated by
Tired nation on the fly
Everybody knows advice that was given out for free
Lots of details to discern, lots of details
But high-ho silver, ride
High-ho silver, ride
Takes another ride to make me
Oh, get off the air, I'm on the stereo, stereo
My baby, baby, baby, baby, baby
Gave me malaria, hysteria","Stereo","http://lyrics.fandom.com/wiki/Pavement:Stereo"
"Crooked Rain, Crooked Rain (1994)","Got struck by the first volley of the war in the courts
Never held my service
Send 'em a wire, give 'em my best, this ammunition never rests
No one serves coffee, no one wakes up
Stop breathin, stop breathin
Breathin for me now
Write it on a postcard
Dad, they broke me, dad, they broke me
Stop breathin, stop breathin
Breathin for me now
Write it on a postcard
Dad, they broke me, dad, they broke me
I can see the lines, open shutters, and the leaves flocked on a grid
That's what they made my hero say
But nothing gets me off so completely than when you put it down ten feet down in the ground
Call and response, negative hope
Stop breathin, stop breathin
Breathin for me now
Write it on a postcard
Dad, they broke me, dad, they broke me
Stop breathin, stop breathin
Breathin for me now
Write it on a postcard
Dad, they broke me, dad, they broke me","Stop Breathin","http://lyrics.fandom.com/wiki/Pavement:Stop_Breathin"
"Unknown","Got struck by the first volley
Of the war in the courts
Never held my serve
Send'em a wire, give'em my best
This ammunition never rests
No one serves coffee, no one wakes up
Stop breathin'
Stop breathin'
Breathin' for me now
Write it on a postcard
Dad, they broke me
Dad, they broke me
Stop breathin'
Stop breathin'
Breathin' for me now
Write it on a postcard
Dad, they broke me
Dad, they broke me
I can see the lines open shutters
And the leaves flocked on a grid
That's what they made my hero say
Nothing gets me off so completely
Then when you put it down, ten feet down in the ground
Call it response (to a) negative home
Stop breathin'
Stop breathin'
Breathin' for me now
Write it on a postcard
Dad, they broke me
Dad, they broke me
Stop breathin'
Stop breathin'
Breathin' for me now
Write it on a postcard
Dad, they broke me","Stop Breathing","http://lyrics.fandom.com/wiki/Pavement:Stop_Breathing"
"Unknown","Don't be a toy on the back of a magazine, don't, don't be a toy, on the back of a magazine, there's a caricature no one reads
I know you've got a lot of special things to do with me I'm through, I know, it's all right, sing along.
Practice everything you preach you nun,
I got none today, expecting none tomorrow, and tomorrow after that release the strings of nashville, and watch the songs expire.
And silence is danger, but it's not required here, so why you scared?
I know, you got alot of special things to do, with me I'm through, I know, its all right.
Sing a song, get you through the night.","Strings Of Nashville","http://lyrics.fandom.com/wiki/Pavement:Strings_Of_Nashville"
"Unknown","Sue me Jack, sue me, sue me Jack
Sue me Jack, sue me, sue me Jack
Sue me Jack, sue me, sue me Jack
Sue me Jack, sue me, sue me Jack
I'm, I'm on the left, left side
My, my silhouette can't be touched
Will you fight?
Will you fight?
Will you fight?
Well I've got a right, tonight
Someone's underneath a knife
????? Switches lean so fast
It's fast, it's fast, and it's fast
I'm, I'm on the left, face up
My, my silhouette can't be touched
Will you fight?
Will you fight?
Will you fight?
Well I've got a right to earn
Everything in sight is mine
????? Up looking right
On up
Now, now, now, now!","Sue Me Jack","http://lyrics.fandom.com/wiki/Pavement:Sue_Me_Jack"
